No.,Time,Source,Destination,Protocol,Length,RTT,Info
2,0.000113,10.19.6.231,31.13.79.53,TCP,66,0.000113,55180  >  443 [ACK] Seq=1 Ack=46 Win=2047 Len=0 TSval=1054090449 TSecr=216036036
20,1.412427,31.13.79.18,10.19.6.231,TCP,66,0.002631,443  >  55010 [ACK] Seq=1 Ack=33 Win=231 Len=0 TSval=216036184 TSecr=1054091854
23,1.588629,10.19.6.231,31.13.79.18,TCP,66,0.000114,55010  >  443 [ACK] Seq=33 Ack=29 Win=2047 Len=0 TSval=1054092031 TSecr=216036202
44,3.729636,172.217.31.196,10.19.6.231,TCP,66,0.002772,443  >  55284 [ACK] Seq=1 Ack=195 Win=239 Len=0 TSval=216036416 TSecr=1054094165
45,3.729903,172.217.31.196,10.19.6.231,TCP,66,0.003038,443  >  55284 [ACK] Seq=1 Ack=234 Win=239 Len=0 TSval=216036416 TSecr=1054094165
47,3.781154,10.19.6.231,172.217.31.196,TCP,66,0.000096,55284  >  443 [ACK] Seq=234 Ack=40 Win=2047 Len=0 TSval=1054094218 TSecr=216036421
49,3.848743,10.19.6.231,172.217.31.196,TCP,66,0.000079,55284  >  443 [ACK] Seq=234 Ack=246 Win=2044 Len=0 TSval=1054094284 TSecr=216036428
51,3.849005,10.19.6.231,172.217.31.196,TCP,66,0.00005,55284  >  443 [ACK] Seq=234 Ack=748 Win=2040 Len=0 TSval=1054094284 TSecr=216036428
53,3.851413,10.19.6.231,172.217.31.196,TCP,66,0.000062,55284  >  443 [ACK] Seq=234 Ack=780 Win=2039 Len=0 TSval=1054094286 TSecr=216036428
55,3.852552,10.19.6.231,172.217.31.196,TCP,66,0.000064,55284  >  443 [ACK] Seq=234 Ack=811 Win=2047 Len=0 TSval=1054094287 TSecr=216036428
57,3.85269,10.19.6.231,172.217.31.196,TCP,66,0.000039,55284  >  443 [ACK] Seq=234 Ack=850 Win=2047 Len=0 TSval=1054094287 TSecr=216036428
59,3.854361,172.217.31.196,10.19.6.231,TCP,66,0.000998,443  >  55284 [ACK] Seq=850 Ack=273 Win=239 Len=0 TSval=216036428 TSecr=1054094287
61,3.8737,172.217.31.196,10.19.6.231,TCP,66,0.000932,443  >  55284 [ACK] Seq=850 Ack=467 Win=260 Len=0 TSval=216036430 TSecr=1054094306
63,3.981938,10.19.6.231,172.217.31.196,TCP,66,0.000092,55284  >  443 [ACK] Seq=467 Ack=1057 Win=2044 Len=0 TSval=1054094413 TSecr=216036441
65,3.982184,10.19.6.231,172.217.31.196,TCP,66,0.000067,55284  >  443 [ACK] Seq=467 Ack=1557 Win=2040 Len=0 TSval=1054094413 TSecr=216036441
68,3.982728,10.19.6.231,172.217.31.196,TCP,66,0.000069,55284  >  443 [ACK] Seq=467 Ack=1589 Win=2039 Len=0 TSval=1054094413 TSecr=216036441
69,3.982728,10.19.6.231,172.217.31.196,TCP,66,0.000066,55284  >  443 [ACK] Seq=467 Ack=1620 Win=2039 Len=0 TSval=1054094413 TSecr=216036441
71,4.033189,10.19.6.231,172.217.31.196,TCP,66,0.000101,55284  >  443 [ACK] Seq=467 Ack=1659 Win=2047 Len=0 TSval=1054094464 TSecr=216036446
73,4.034418,172.217.31.196,10.19.6.231,TCP,66,0.000934,443  >  55284 [ACK] Seq=1659 Ack=506 Win=260 Len=0 TSval=216036446 TSecr=1054094464
75,4.128078,172.217.31.196,10.19.6.231,TCP,66,0.001196,443  >  55284 [ACK] Seq=1659 Ack=701 Win=282 Len=0 TSval=216036456 TSecr=1054094557
77,4.233248,10.19.6.231,172.217.31.196,TCP,66,0.000072,55284  >  443 [ACK] Seq=701 Ack=1865 Win=2044 Len=0 TSval=1054094662 TSecr=216036466
79,4.233669,10.19.6.231,172.217.31.196,TCP,66,0.000053,55284  >  443 [ACK] Seq=701 Ack=2321 Win=2040 Len=0 TSval=1054094662 TSecr=216036466
81,4.237702,10.19.6.231,172.217.31.196,TCP,66,0.000074,55284  >  443 [ACK] Seq=701 Ack=2423 Win=2046 Len=0 TSval=1054094665 TSecr=216036466
83,4.239709,172.217.31.196,10.19.6.231,TCP,66,0.001137,443  >  55284 [ACK] Seq=2423 Ack=740 Win=282 Len=0 TSval=216036467 TSecr=1054094666
85,4.341169,172.217.31.196,10.19.6.231,TCP,66,0.001111,443  >  55284 [ACK] Seq=2423 Ack=942 Win=303 Len=0 TSval=216036477 TSecr=1054094766
89,4.371928,118.214.44.253,10.19.6.231,TCP,74,0.001153,"443  >  55328 [SYN, ACK] Seq=0 Ack=1 Win=18328 Len=0 MSS=9176 SACK_PERM=1 TSval=216036480 TSecr=1054094795 WS=128"
90,4.372009,10.19.6.231,118.214.44.253,TCP,66,0.000081,55328  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=1054094796 TSecr=216036480
92,4.373943,118.214.44.253,10.19.6.231,TCP,66,0.00121,443  >  55328 [ACK] Seq=1 Ack=600 Win=19584 Len=0 TSval=216036480 TSecr=1054094796
94,4.453864,10.19.6.231,172.217.31.196,TCP,66,0.00012,55284  >  443 [ACK] Seq=942 Ack=2629 Win=2044 Len=0 TSval=1054094876 TSecr=216036488
96,4.454105,10.19.6.231,172.217.31.196,TCP,66,0.00005,55284  >  443 [ACK] Seq=942 Ack=3008 Win=2038 Len=0 TSval=1054094876 TSecr=216036488
98,4.456055,10.19.6.231,172.217.31.196,TCP,66,0.000085,55284  >  443 [ACK] Seq=942 Ack=3040 Win=2047 Len=0 TSval=1054094878 TSecr=216036488
101,4.456307,10.19.6.231,172.217.31.196,TCP,66,0.000119,55284  >  443 [ACK] Seq=942 Ack=3071 Win=2047 Len=0 TSval=1054094878 TSecr=216036488
102,4.456308,10.19.6.231,172.217.31.196,TCP,66,0.000117,55284  >  443 [ACK] Seq=942 Ack=3110 Win=2046 Len=0 TSval=1054094878 TSecr=216036488
104,4.458605,172.217.31.196,10.19.6.231,TCP,66,0.000966,443  >  55284 [ACK] Seq=3110 Ack=981 Win=303 Len=0 TSval=216036489 TSecr=1054094879
106,4.656484,10.19.6.231,118.214.44.253,TCP,66,0.000073,55328  >  443 [ACK] Seq=600 Ack=261 Win=131456 Len=0 TSval=1054095076 TSecr=216036508
109,4.660389,118.214.44.253,10.19.6.231,TCP,66,0.001454,443  >  55328 [ACK] Seq=261 Ack=680 Win=19584 Len=0 TSval=216036509 TSecr=1054095078
110,4.660763,118.214.44.253,10.19.6.231,TCP,66,0.001272,443  >  55328 [ACK] Seq=261 Ack=766 Win=19584 Len=0 TSval=216036509 TSecr=1054095078
113,4.662125,118.214.44.253,10.19.6.231,TCP,66,0.001335,443  >  55328 [ACK] Seq=261 Ack=2214 Win=22528 Len=0 TSval=216036509 TSecr=1054095079
114,4.662462,118.214.44.253,10.19.6.231,TCP,66,0.00167,443  >  55328 [ACK] Seq=261 Ack=3506 Win=25344 Len=0 TSval=216036509 TSecr=1054095079
116,4.696618,10.19.6.231,31.13.79.18,TCP,66,0.000098,54972  >  443 [ACK] Seq=1 Ack=167 Win=2045 Len=0 TSval=1054095113 TSecr=216036512
121,4.714377,10.19.6.231,118.214.44.253,TCP,66,0.00014,55328  >  443 [ACK] Seq=3506 Ack=532 Win=131200 Len=0 TSval=1054095130 TSecr=216036514
122,4.714377,10.19.6.231,118.214.44.253,TCP,66,0.000138,55328  >  443 [ACK] Seq=3506 Ack=602 Win=131136 Len=0 TSval=1054095130 TSecr=216036514
124,4.715998,118.214.44.253,10.19.6.231,TCP,66,0.001306,443  >  55328 [ACK] Seq=602 Ack=3537 Win=25344 Len=0 TSval=216036514 TSecr=1054095130
129,4.722045,10.19.6.231,118.214.44.253,TCP,66,0.000129,55328  >  443 [ACK] Seq=3537 Ack=1648 Win=130112 Len=0 TSval=1054095136 TSecr=216036515
130,4.722096,10.19.6.231,118.214.44.253,TCP,66,0.000176,55328  >  443 [ACK] Seq=3537 Ack=3096 Win=128640 Len=0 TSval=1054095136 TSecr=216036515
131,4.722096,10.19.6.231,118.214.44.253,TCP,66,0.000073,55328  >  443 [ACK] Seq=3537 Ack=3740 Win=128000 Len=0 TSval=1054095136 TSecr=216036515
