"No.","Time","Source","Destination","Protocol","Length","RTT","Info"
"2","0.003862","172.217.166.14","10.150.33.220","TCP","66","0.003862000","443  >  55633 [ACK] Seq=1 Ack=341 Win=181 Len=0 TSval=176844696 TSecr=613551009"
"8","0.060485","10.150.33.220","172.217.166.14","TCP","66","0.000137000","55633  >  443 [ACK] Seq=341 Ack=101 Win=2046 Len=0 TSval=613551068 TSecr=176844701"
"9","0.060556","10.150.33.220","172.217.166.14","TCP","66","0.000202000","55633  >  443 [ACK] Seq=341 Ack=167 Win=2045 Len=0 TSval=613551068 TSecr=176844701"
"10","0.060556","10.150.33.220","172.217.166.14","TCP","66","0.000119000","55633  >  443 [ACK] Seq=341 Ack=206 Win=2044 Len=0 TSval=613551068 TSecr=176844701"
"12","0.062117","172.217.166.14","10.150.33.220","TCP","66","0.000852000","443  >  55633 [ACK] Seq=206 Ack=380 Win=181 Len=0 TSval=176844701 TSecr=613551068"
"45","2.868573","172.217.24.228","10.150.33.220","TCP","74","0.001493000","443  >  55634 [SYN, ACK] Seq=0 Ack=1 Win=18328 Len=0 MSS=1396 SACK_PERM=1 TSval=176844982 TSecr=613553868 WS=128"
"46","2.868670","10.150.33.220","172.217.24.228","TCP","66","0.000097000","55634  >  443 [ACK] Seq=1 Ack=1 Win=131456 Len=0 TSval=613553869 TSecr=176844982"
"48","2.870282","172.217.24.228","10.150.33.220","TCP","66","0.001180000","443  >  55634 [ACK] Seq=1 Ack=585 Win=19584 Len=0 TSval=176844982 TSecr=613553869"
"53","2.962058","172.217.24.228","10.150.33.220","TCP","74","0.001440000","443  >  55635 [SYN, ACK] Seq=0 Ack=1 Win=18328 Len=0 MSS=1396 SACK_PERM=1 TSval=176844991 TSecr=613553959 WS=128"
"54","2.962144","10.150.33.220","172.217.24.228","TCP","66","0.000086000","55635  >  443 [ACK] Seq=1 Ack=1 Win=131456 Len=0 TSval=613553960 TSecr=176844991"
"56","2.964560","172.217.24.228","10.150.33.220","TCP","66","0.002137000","443  >  55635 [ACK] Seq=1 Ack=585 Win=19584 Len=0 TSval=176844992 TSecr=613553960"
"62","3.131113","10.150.33.220","172.217.24.228","TCP","66","0.000129000","55634  >  443 [ACK] Seq=585 Ack=213 Win=131264 Len=0 TSval=613554127 TSecr=176845008"
"66","3.145462","172.217.24.228","10.150.33.220","TCP","66","0.005046000","443  >  55634 [ACK] Seq=213 Ack=649 Win=19584 Len=0 TSval=176845010 TSecr=613554136"
"67","3.145638","172.217.24.228","10.150.33.220","TCP","66","0.004868000","443  >  55634 [ACK] Seq=213 Ack=735 Win=19584 Len=0 TSval=176845010 TSecr=613554136"
"68","3.146037","172.217.24.228","10.150.33.220","TCP","66","0.004364000","443  >  55634 [ACK] Seq=213 Ack=2118 Win=22272 Len=0 TSval=176845010 TSecr=613554137"
"70","3.200564","10.150.33.220","172.217.24.228","TCP","66","0.000104000","55634  >  443 [ACK] Seq=2118 Ack=793 Win=130688 Len=0 TSval=613554194 TSecr=176845015"
"73","3.201094","10.150.33.220","172.217.24.228","TCP","66","0.000069000","55634  >  443 [ACK] Seq=2149 Ack=824 Win=131008 Len=0 TSval=613554194 TSecr=176845015"
"74","3.210495","172.217.24.228","10.150.33.220","TCP","66","0.009602000","443  >  55634 [ACK] Seq=824 Ack=2149 Win=22272 Len=0 TSval=176845016 TSecr=613554194"
"76","3.231649","10.150.33.220","172.217.24.228","TCP","66","0.000104000","55635  >  443 [ACK] Seq=585 Ack=213 Win=131264 Len=0 TSval=613554225 TSecr=176845018"
"78","3.234513","172.217.24.228","10.150.33.220","TCP","66","0.000996000","443  >  55635 [ACK] Seq=213 Ack=649 Win=19584 Len=0 TSval=176845019 TSecr=613554226"
"80","3.237284","172.217.24.228","10.150.33.220","TCP","66","0.000929000","443  >  55634 [ACK] Seq=824 Ack=2184 Win=22272 Len=0 TSval=176845019 TSecr=613554228"
"82","3.239209","172.217.24.228","10.150.33.220","TCP","66","0.001013000","443  >  55634 [ACK] Seq=824 Ack=2379 Win=25088 Len=0 TSval=176845019 TSecr=613554229"
"85","3.402582","10.150.33.220","172.217.24.228","TCP","66","0.000112000","55634  >  443 [ACK] Seq=2379 Ack=1313 Win=130560 Len=0 TSval=613554392 TSecr=176845035"
"87","3.404227","10.150.33.220","172.217.24.228","TCP","66","0.000095000","55634  >  443 [ACK] Seq=2379 Ack=1775 Win=130560 Len=0 TSval=613554393 TSecr=176845035"
"90","3.406478","10.150.33.220","172.217.24.228","TCP","66","0.000122000","55634  >  443 [ACK] Seq=2379 Ack=1807 Win=131008 Len=0 TSval=613554395 TSecr=176845036"
"91","3.406544","10.150.33.220","172.217.24.228","TCP","66","0.000181000","55634  >  443 [ACK] Seq=2379 Ack=1838 Win=131008 Len=0 TSval=613554395 TSecr=176845036"
"93","3.406717","10.150.33.220","172.217.24.228","TCP","66","0.000053000","55634  >  443 [ACK] Seq=2379 Ack=1877 Win=131008 Len=0 TSval=613554395 TSecr=176845036"
"95","3.409340","172.217.24.228","10.150.33.220","TCP","66","0.000915000","443  >  55634 [ACK] Seq=1877 Ack=2418 Win=25088 Len=0 TSval=176845036 TSecr=613554396"
"98","3.678247","172.217.24.228","10.150.33.220","TCP","66","0.006985000","443  >  55634 [ACK] Seq=1877 Ack=2620 Win=27904 Len=0 TSval=176845063 TSecr=613554657"
"100","3.862609","10.150.33.220","172.217.24.228","TCP","66","0.000103000","55634  >  443 [ACK] Seq=2620 Ack=2083 Win=130816 Len=0 TSval=613554846 TSecr=176845081"
"102","3.862961","10.150.33.220","172.217.24.228","TCP","66","0.000169000","55634  >  443 [ACK] Seq=2620 Ack=2478 Win=130624 Len=0 TSval=613554846 TSecr=176845081"
"105","3.866443","10.150.33.220","172.217.24.228","TCP","66","0.000169000","55634  >  443 [ACK] Seq=2620 Ack=2510 Win=131008 Len=0 TSval=613554849 TSecr=176845082"
"106","3.866510","10.150.33.220","172.217.24.228","TCP","66","0.000103000","55634  >  443 [ACK] Seq=2620 Ack=2541 Win=131008 Len=0 TSval=613554849 TSecr=176845082"
"108","3.866785","10.150.33.220","172.217.24.228","TCP","66","0.000079000","55634  >  443 [ACK] Seq=2620 Ack=2580 Win=131008 Len=0 TSval=613554849 TSecr=176845082"
